date,origin,destination,currency_code,minimum_price,first_quartile_price,median_price,third_quartile_price,maximum_price,EURMXN=X_Close,EURTRY=X_Close,EURUSD=X_Close
2019-04-11,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.218399047851562,6.403940200805664,1.1276500225067139
2019-04-12,,,,,,,,,21.200599670410156,6.454329967498779,1.1260753870010376
2019-04-13,,,,,,,,,,,
2019-04-14,,,,,,,,,,,
2019-04-15,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.201499938964844,6.534669876098633,1.1305055618286133
2019-04-16,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.330900192260742,6.55633020401001,1.1304928064346313
2019-04-17,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.305099487304688,6.529560089111328,1.128502607345581
2019-04-18,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.25189971923828,6.500400066375732,1.129713773727417
2019-04-19,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.119699478149414,6.548709869384766,1.1235954761505127
2019-04-20,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,,,
2019-04-21,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,,,
2019-04-22,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.114500045776367,6.547100067138672,1.1244546175003052
2019-04-23,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.19409942626953,6.559629917144775,1.1258978843688965
2019-04-24,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.22909927368164,6.547939777374268,1.122435212135315
2019-04-25,,,,,,,,,21.279199600219727,6.563690185546875,1.1153494119644165
2019-04-26,,,,,,,,,21.183500289916992,6.636710166931152,1.113684892654419
2019-04-27,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,,,
2019-04-28,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,,,
2019-04-29,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.11709976196289,6.629960060119629,1.1150261163711548
2019-04-30,MAD,IST,USD,93.4,460.45,461.65,533.06,569.74,21.262300491333008,6.655600070953369,1.1185182332992554
2019-05-01,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.23900032043457,6.689599990844727,1.121604323387146
2019-05-02,,,,,,,,,21.273700714111328,6.675600051879883,1.1200841665267944
2019-05-03,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.36680030822754,6.665800094604492,1.1173559427261353
2019-05-04,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,,,
2019-05-05,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,,,
2019-05-06,,,,,,,,,21.327899932861328,6.690509796142578,1.1185808181762695
2019-05-07,,,,,,,,,21.285900115966797,6.816359996795654,1.1201846599578857
2019-05-08,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.30514907836914,6.886350154876709,1.1191065311431885
2019-05-09,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.366100311279297,6.896009922027588,1.1198333501815796
2019-05-10,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.56719970703125,6.9078898429870605,1.1222084760665894
2019-05-11,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,,,
2019-05-12,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,,,
2019-05-13,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.49880027770996,6.729420185089111,1.1236460208892822
2019-05-14,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.584400177001953,6.842199802398682,1.1232547760009766
2019-05-15,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.461000442504883,6.752470016479492,1.1204482316970825
2019-05-16,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.359699249267578,6.737520217895508,1.1207244396209717
2019-05-17,,,,,,,,,21.352100372314453,6.763000011444092,1.1173559427261353
2019-05-18,,,,,,,,,,,
2019-05-19,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,,,
2019-05-20,,,,,,,,,21.37070083618164,6.7659502029418945,1.1165324449539185
